122.38,132.97,144.01,154.57,162.26,167.26,174.83,182.69,186.02,191.60,197.77,199.58,203.03,204.63,208.06,213.97,218.56,226.45,229.84,233.48,240.00,248.39,254.95,260.21,265.51,269.26,271.66,270.15,268.76,266.25,260.35,255.16,250.30,246.06,242.10,236.86,228.32,222.73,218.51,213.86,206.01,196.70,191.65,183.46,175.39,164.05,155.24,144.73,133.36,123.89,112.45,98.49
126.13,140.09,148.37,158.71,167.72,174.90,180.55,187.52,192.21,195.69,202.25,205.48,208.60,212.85,216.00,221.89,224.29,231.66,236.58,241.98,247.20,255.44,261.70,269.43,273.54,279.87,281.19,279.01,276.94,272.08,269.07,263.03,258.21,253.58,248.92,244.46,236.60,229.81,226.74,217.99,212.58,203.19,199.48,189.64,180.80,170.85,159.51,149.65,137.93,128.41,114.20,101.87
129.19,142.66,152.11,160.26,170.00,176.51,184.45,191.90,194.06,198.92,201.82,208.22,212.08,212.46,215.96,221.84,227.73,237.78,241.58,241.30,249.24,256.60,264.85,270.78,274.59,280.86,283.67,278.93,278.09,277.65,269.70,264.56,259.21,258.50,252.76,246.08,238.00,230.84,227.27,224.93,217.92,205.12,203.00,192.44,184.09,171.05,161.64,148.85,140.66,130.00,115.21,102.42
129.65,142.27,150.72,162.24,169.86,177.87,185.40,190.59,193.76,196.89,205.77,206.89,210.52,214.23,216.62,221.89,226.63,232.56,238.72,243.99,251.22,258.51,264.20,270.97,276.62,279.69,282.25,281.18,280.03,276.73,272.38,266.85,259.79,256.00,251.53,248.27,239.71,232.65,228.40,222.46,215.19,208.12,198.46,191.85,184.69,171.59,162.61,153.76,140.07,128.13,117.61,104.40
123.71,138.57,148.49,158.47,167.73,175.64,181.57,188.86,193.94,198.72,203.32,208.73,211.61,212.60,216.00,222.79,227.18,237.52,240.60,243.02,248.52,257.41,264.64,269.46,273.72,281.15,283.43,280.32,280.40,276.56,270.14,265.42,258.71,255.63,251.03,248.21,237.69,230.67,228.30,222.00,217.04,204.69,200.89,192.01,183.88,170.56,159.23,148.65,139.36,128.84,115.00,101.87
125.22,137.44,145.60,156.47,165.00,172.68,178.14,186.25,190.24,193.71,201.79,202.12,206.32,209.58,212.13,218.49,221.56,230.11,234.83,238.81,245.52,253.30,259.74,265.45,270.39,273.40,276.09,276.03,273.59,269.76,264.59,260.60,252.62,250.16,244.47,240.52,233.56,226.82,224.41,217.39,209.98,202.77,194.91,186.72,179.01,168.61,156.98,149.38,137.06,124.74,115.97,102.00
124.79,139.46,147.83,159.81,165.39,175.23,181.42,188.10,191.40,195.76,202.01,206.42,209.75,210.35,212.19,220.42,224.02,233.24,239.48,240.74,247.58,256.89,263.19,269.27,271.94,281.28,281.15,278.17,277.58,274.18,267.98,263.06,254.80,254.28,249.15,244.64,235.37,229.39,224.96,220.00,214.71,201.36,197.95,190.31,180.25,169.29,159.53,148.17,138.00,128.39,114.56,102.20
130.38,145.21,150.08,161.62,172.73,178.68,184.22,193.15,194.65,197.77,205.51,208.00,210.72,214.66,216.68,224.59,225.40,233.36,238.38,244.81,250.91,258.44,265.94,272.41,275.86,281.15,283.18,282.24,281.50,277.00,274.72,267.05,260.62,255.16,252.60,247.49,238.38,233.49,229.01,223.49,216.09,208.17,201.06,191.38,184.02,173.42,163.25,154.99,140.46,128.10,118.07,105.89
127.14,140.13,148.22,159.11,169.43,177.55,182.52,188.86,194.37,199.11,204.14,208.15,209.75,212.40,216.94,222.75,227.86,234.39,242.10,244.39,250.73,258.37,264.02,272.12,275.97,281.81,283.39,281.47,278.37,275.86,271.47,264.85,258.57,257.03,250.93,246.98,238.21,232.54,228.32,223.66,216.34,206.29,200.94,192.59,182.48,171.21,161.45,152.20,140.25,128.66,114.39,103.60
126.37,139.26,149.79,160.00,168.13,175.48,180.03,190.66,194.37,198.22,203.79,208.58,211.92,214.01,216.00,223.65,227.15,237.00,240.95,242.86,250.01,259.93,264.80,271.45,275.12,283.67,284.55,279.47,280.40,276.73,270.90,266.58,258.87,257.22,251.85,246.34,237.76,232.00,229.11,224.54,217.20,204.98,200.96,192.07,184.23,170.47,159.66,149.11,140.46,130.42,113.51,100.98
128.06,142.80,149.04,160.03,169.85,177.12,181.07,189.08,194.03,195.98,205.55,204.71,207.85,210.02,214.90,220.78,225.58,231.37,237.00,240.21,248.51,255.78,262.09,268.79,273.65,277.06,280.22,281.73,279.41,274.77,271.01,264.92,259.89,254.00,251.81,244.36,236.89,232.23,226.27,223.45,212.90,207.33,196.60,187.76,181.89,172.00,162.41,152.90,138.08,126.78,116.40,104.05
125.42,138.22,148.66,160.10,165.87,175.05,180.06,189.91,193.06,197.65,201.38,207.06,211.14,212.25,214.76,221.71,225.53,234.95,240.75,241.23,247.95,257.11,263.90,269.27,274.41,280.86,284.04,277.58,278.21,275.86,267.47,262.29,256.12,256.18,249.93,244.24,236.37,230.72,226.36,222.95,215.23,202.53,198.44,191.00,181.66,169.50,158.90,148.66,138.54,128.10,114.16,99.36
128.60,142.58,149.91,162.12,167.76,177.65,181.97,191.09,193.68,199.18,202.36,208.47,211.01,212.08,216.21,222.52,225.62,235.00,240.05,242.60,248.36,256.91,264.61,271.02,274.24,281.30,284.29,280.71,281.36,277.35,270.27,265.24,259.52,257.50,253.48,247.00,238.21,232.94,226.98,222.15,216.83,204.09,200.81,193.05,183.36,171.06,160.64,150.08,139.60,128.69,115.11,102.14
120.81,132.44,142.20,152.69,158.91,167.11,171.01,178.77,183.21,188.72,191.63,195.98,199.49,200.82,203.30,211.30,214.45,222.02,226.11,228.00,236.81,242.35,249.77,255.33,259.49,266.33,267.88,263.04,263.41,260.73,255.22,251.59,243.33,242.13,237.81,231.81,224.96,218.52,215.34,210.64,205.10,193.16,188.17,181.84,172.73,159.81,151.83,141.61,133.36,122.59,109.11,96.21
121.43,134.06,142.62,152.76,159.33,165.03,172.07,178.53,183.20,187.30,192.31,197.29,199.92,200.69,203.38,210.77,213.66,221.42,225.62,229.46,237.79,244.31,248.70,256.33,258.28,266.11,267.47,263.17,263.77,259.56,256.26,251.64,245.75,243.66,237.60,232.05,225.47,218.60,215.50,208.84,203.55,191.88,188.83,182.92,172.84,161.82,152.12,143.20,132.22,122.07,109.18,97.42
124.91,137.91,148.53,158.71,166.48,173.81,180.01,188.86,191.60,196.70,203.42,205.92,209.50,210.79,214.77,220.06,223.86,231.42,238.08,239.44,248.89,255.02,262.55,267.66,273.03,279.50,281.34,278.04,276.38,273.78,268.08,261.63,255.55,254.65,248.47,242.99,234.30,230.05,225.20,220.00,213.47,203.63,196.64,189.16,180.02,169.01,158.42,149.35,138.75,127.20,113.37,101.71
95.19,107.19,110.91,116.73,124.47,130.63,131.40,134.13,136.62,137.80,144.70,145.28,145.96,146.99,145.17,150.31,149.63,157.69,156.24,158.39,155.72,158.52,165.20,166.51,165.36,169.31,164.14,164.26,162.60,160.08,160.60,159.97,157.88,166.17,161.68,166.17,170.21,171.21,169.65,166.39,166.97,162.05,155.21,147.41,145.34,135.83,129.40,119.77,111.00,100.42,93.94,83.38
127.28,139.52,145.43,155.77,166.43,171.62,179.30,184.36,188.07,192.27,198.44,199.12,201.85,205.78,208.89,215.23,217.87,222.80,230.46,234.34,241.59,248.52,254.70,259.99,266.61,269.47,273.31,271.36,270.78,265.07,261.98,257.62,251.96,246.45,243.53,237.60,232.03,226.46,221.35,213.85,207.69,200.48,190.92,184.30,177.39,166.36,157.72,147.65,134.54,123.49,114.02,100.50
128.44,143.13,149.62,161.60,169.19,177.88,184.04,191.38,195.67,199.54,203.69,208.06,211.38,212.62,217.41,222.32,226.13,234.55,238.12,242.96,250.06,258.06,265.03,269.36,273.89,280.74,284.38,279.04,280.40,278.30,270.84,264.15,259.16,256.96,253.65,246.86,238.21,232.28,228.01,221.72,216.60,205.30,200.80,192.40,184.32,171.49,160.88,150.66,139.17,130.15,115.43,103.25
125.72,140.60,148.00,159.23,166.44,174.23,180.57,188.53,191.05,195.97,200.19,202.73,208.17,210.34,214.44,219.94,223.60,230.85,236.00,238.76,246.29,254.40,261.32,265.73,271.71,276.28,280.94,276.88,275.14,274.14,267.30,262.43,255.33,254.23,250.29,244.17,234.40,229.09,225.08,219.01,211.57,205.07,197.49,188.52,181.20,168.94,159.26,149.65,139.46,127.06,116.21,102.32
127.44,138.92,147.49,158.40,166.39,174.39,178.44,186.32,191.67,195.50,200.25,203.66,208.81,209.02,211.90,219.97,221.81,229.31,235.08,238.32,246.63,253.75,261.28,265.93,269.58,277.99,279.40,275.57,275.41,272.24,265.98,262.09,256.91,253.40,247.94,243.01,235.03,229.44,225.50,219.74,211.77,202.16,196.60,189.62,180.90,168.44,160.38,148.66,137.67,127.58,114.24,101.71
127.09,140.87,146.49,158.40,165.17,173.68,180.65,187.22,190.44,195.06,198.59,201.92,208.06,208.12,212.00,219.20,222.39,230.26,236.28,238.08,243.90,253.57,261.40,265.65,269.45,275.11,278.95,276.93,275.54,272.66,268.03,261.09,255.80,254.61,247.61,243.00,235.59,228.08,225.20,218.84,212.04,203.35,196.81,189.74,180.69,169.09,159.91,150.08,138.09,127.81,114.55,102.32
126.00,138.54,149.24,159.25,165.87,173.22,179.05,190.28,191.77,198.44,201.73,206.87,209.70,211.30,215.08,219.99,225.63,233.35,239.03,239.89,248.08,256.22,264.59,269.71,273.99,281.46,281.52,279.76,277.42,277.05,268.70,265.77,256.67,254.94,250.45,245.25,235.44,229.81,225.14,223.58,215.59,204.08,199.75,191.38,182.28,168.91,159.93,148.19,138.65,126.75,114.74,101.04
